student_id,attendance_percentage,study_hours_per_week,study_hours_group,assignment_average,final_marks
S135,88.2,12.7,Medium,76.5,71.8
S136,73.0,11.8,Medium,66.1,67.6
S137,84.6,6.9,Low,64.8,59.3
S138,81.8,16.1,Medium,78.9,77.3
S139,68.3,3.9,Low,64.6,57.8
S140,70.1,26.8,High,75.3,64.7
S141,83.3,12.8,Medium,76.8,62.9
S142,76.8,19.2,High,76.2,64.5
S143,58.6,10.7,Medium,60.7,62.6
S144,58.0,23.0,High,81.0,72.7
S145,62.5,19.1,High,79.0,68.8
S146,87.7,7.9,Low,68.2,61.7
S147,82.4,28.3,High,81.1,69.9
S148,66.5,20.1,High,77.3,71.3
S149,87.5,15.5,Medium,72.5,79.2
S150,70.2,2.2,Low,56.1,46.4
S151,87.3,10.4,Medium,68.7,69.5
S152,84.6,20.4,High,77.2,82.4
S153,83.9,15.1,Medium,83.1,70.8
S154,68.5,18.2,High,74.8,69.8
S155,59.3,23.1,High,81.9,70.4
S156,92.3,5.5,Low,65.5,64.8
S157,97.0,17.8,Medium,78.9,69.9
S158,96.2,21.7,High,93.9,83.2
S159,89.2,6.8,Low,65.7,60.9
S160,70.7,23.4,High,77.3,69.0
S161,94.8,26.2,High,88.3,91.0
S162,58.6,10.7,Medium,70.1,61.0
S163,60.1,8.2,Medium,68.8,57.3
S164,99.7,29.4,High,94.8,99.0
S165,71.0,24.2,High,72.1,69.3
S166,55.8,9.5,Medium,69.1,62.0
S167,57.1,25.5,High,81.4,82.3
S168,74.9,6.0,Low,70.3,64.5
S169,57.2,15.8,Medium,69.5,67.6
S170,83.0,10.8,Medium,66.1,54.3
S171,60.3,13.4,Medium,65.0,67.3
S172,77.6,25.1,High,85.1,83.7
S173,92.9,26.0,High,91.4,87.0
S174,93.3,9.0,Medium,71.0,60.5
S175,63.6,5.2,Low,56.4,47.5
S176,86.7,29.6,High,91.3,91.2
S177,79.1,6.1,Low,71.2,66.0
S178,75.6,25.6,High,89.1,75.4
S179,55.8,12.5,Medium,65.7,58.3
S180,68.3,9.2,Medium,65.4,51.2
S181,77.1,27.1,High,89.7,88.8
S182,63.2,13.0,Medium,61.4,51.1
S183,56.7,3.8,Low,61.5,48.0
S184,85.3,15.7,Medium,73.5,73.6
S185,77.1,7.4,Low,64.3,59.8
S186,65.7,15.5,Medium,68.3,71.8
S187,61.9,24.1,High,70.6,57.6
S188,92.5,23.3,High,84.4,89.5
S189,68.2,12.6,Medium,74.6,72.6
S190,97.7,11.5,Medium,82.1,85.3
S191,87.0,11.6,Medium,81.6,80.7
S192,57.0,15.6,Medium,74.9,71.6
S193,86.4,4.1,Low,74.1,62.2
S194,64.8,22.7,High,75.5,79.9
S195,92.7,4.3,Low,63.6,55.0
S196,58.2,9.7,Medium,61.1,45.1
S197,87.6,24.7,High,83.5,80.3
S198,81.5,29.7,High,91.5,80.1
S199,80.0,10.5,Medium,77.9,77.7
S200,75.9,28.6,High,89.0,89.5
S201,71.1,25.2,High,74.6,78.2
S202,72.1,27.5,High,81.7,72.7
S203,67.0,11.7,Medium,73.8,64.8
S204,69.9,29.1,High,87.3,72.0
S205,77.7,28.3,High,83.2,69.6
S206,80.6,22.7,High,85.5,82.6
S207,73.6,14.1,Medium,65.9,71.1
S208,99.5,5.3,Low,68.2,56.6
S209,71.5,23.1,High,76.4,67.2
S210,75.6,19.5,High,78.2,72.8
S211,73.7,14.5,Medium,74.7,64.5
S212,99.4,20.4,High,91.6,89.6
S213,99.9,2.3,Low,68.5,66.3
S214,97.0,14.4,Medium,75.7,75.7
S215,99.5,2.3,Low,64.9,65.3
S216,62.6,28.0,High,71.8,73.3
S217,68.6,18.7,High,76.6,70.1
S218,70.7,28.8,High,81.9,71.6
S219,55.4,19.5,High,65.5,61.3
S220,66.0,5.1,Low,61.9,58.1
S221,73.5,29.0,High,90.0,86.5
S222,86.3,26.8,High,85.5,90.9
S223,66.1,28.4,High,86.8,71.6
S224,55.2,18.9,High,67.6,60.5
S225,57.5,14.3,Medium,68.4,66.1
S226,81.1,21.6,High,79.6,84.4
S227,65.5,15.8,Medium,68.4,70.2
S228,72.2,5.3,Low,68.2,63.9
S229,68.1,27.9,High,73.2,66.3
S230,94.8,25.8,High,89.5,82.1
S231,57.4,22.6,High,67.1,72.4
S232,63.1,8.4,Medium,56.6,50.0
S233,76.0,24.1,High,75.6,64.5
S234,69.0,28.0,High,78.2,71.8
S235,98.0,25.4,High,88.5,90.9
S236,72.7,18.9,High,79.0,68.0
S237,57.5,22.0,High,76.0,76.1
S238,58.7,16.4,Medium,68.9,57.0
S239,74.3,18.6,High,82.6,67.2
S240,62.5,29.0,High,80.2,73.5
S241,92.6,28.9,High,88.2,95.6
S242,80.8,14.1,Medium,77.7,72.3
S243,86.1,4.5,Low,73.6,61.2
S244,68.3,19.2,High,76.0,70.9
S245,63.7,10.4,Medium,67.7,59.0
S246,59.0,9.9,Medium,63.6,58.1
S247,99.1,18.5,High,90.6,92.7
S248,61.1,2.9,Low,64.9,53.8
S249,83.9,29.7,High,80.3,78.3
S250,88.3,12.3,Medium,79.3,68.9
